# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
AtlasGlyphProvider$1	net.minecraft.client.gui.font.AtlasGlyphProvider$1
AtlasGlyphProvider$Instance	net.minecraft.client.gui.font.AtlasGlyphProvider$Instance
AtlasIds	net.minecraft.data.AtlasIds
AtlasManager	net.minecraft.client.resources.model.AtlasManager
AtlasManager$AtlasConfig	net.minecraft.client.resources.model.AtlasManager$AtlasConfig
AtlasManager$AtlasEntry	net.minecraft.client.resources.model.AtlasManager$AtlasEntry
AtlasManager$PendingStitch	net.minecraft.client.resources.model.AtlasManager$PendingStitch
AtlasManager$PendingStitchResults	net.minecraft.client.resources.model.AtlasManager$PendingStitchResults
AtlasProvider	net.minecraft.client.data.AtlasProvider
AtlasSprite	net.minecraft.network.chat.contents.objects.AtlasSprite
AtmosphericFogEnvironment	net.minecraft.client.renderer.fog.environment.AtmosphericFogEnvironment
Atom	net.minecraft.util.parsing.packrat.Atom
AttachFace	net.minecraft.world.level.block.state.properties.AttachFace
AttachedStemBlock	net.minecraft.world.level.block.AttachedStemBlock
AttachedToLeavesDecorator	net.minecraft.world.level.levelgen.feature.treedecorators.AttachedToLeavesDecorator
AttachedToLogsDecorator	net.minecraft.world.level.levelgen.feature.treedecorators.AttachedToLogsDecorator
